Date,Open,High,Low,Close,P/E,P/B,Div Yield %
18-05-2021,15067.2,15137.25,15043.7,15108.1,30.53,4.33,0.97
19-05-2021,15058.6,15133.4,15008.85,15030.15,29.98,4.3,0.98
20-05-2021,15042.6,15069.8,14884.9,14906.05,29.59,4.27,0.99
21-05-2021,14987.8,15190,14985.85,15175.3,29.48,4.34,0.97
24-05-2021,15211.35,15256.25,15145.45,15197.7,29.52,4.35,0.97
25-05-2021,15291.75,15293.85,15163.4,15208.45,29.25,4.35,1
26-05-2021,15257.05,15319.9,15194.95,15301.45,29.41,4.38,0.99
27-05-2021,15323.95,15384.55,15272.5,15337.85,29.48,4.39,0.99
28-05-2021,15421.2,15469.65,15394.75,15435.65,28.98,4.42,0.98
31-05-2021,15437.75,15606.35,15374,15582.8,29.22,4.39,1.06
01-06-2021,15629.65,15660.75,15528.3,15574.85,28.87,4.39,1.07
02-06-2021,15520.35,15597.45,15459.85,15576.2,28.88,4.39,1.06
03-06-2021,15655.55,15705.1,15611,15690.35,29.1,4.43,1.07
04-06-2021,15712.5,15733.6,15622.35,15670.25,29.06,4.42,1.07
07-06-2021,15725.1,15773.45,15678.1,15751.65,29.21,4.44,1.07
08-06-2021,15773.9,15778.8,15680,15740.1,29.19,4.44,1.07
09-06-2021,15766.3,15800.45,15566.9,15635.35,28.99,4.41,1.07
10-06-2021,15692.1,15751.25,15648.5,15737.75,29.18,4.44,1.15
11-06-2021,15796.45,15835.55,15749.8,15799.35,29.3,4.46,1.18
14-06-2021,15791.4,15823.05,15606.5,15811.85,29.32,4.46,1.2
15-06-2021,15866.95,15901.6,15842.4,15869.25,29.43,4.48,1.2
16-06-2021,15847.5,15880.85,15742.6,15767.55,29.24,4.45,1.2
17-06-2021,15648.3,15769.35,15616.75,15691.4,29.1,4.43,1.24
18-06-2021,15756.5,15761.5,15450.9,15683.35,29.08,4.32,1.24
21-06-2021,15525.85,15765.15,15505.65,15746.5,29.19,4.31,1.22
22-06-2021,15840.5,15895.75,15752.1,15772.75,29.05,4.32,1.21
23-06-2021,15862.8,15862.95,15673.95,15686.95,28.89,4.3,1.22
24-06-2021,15737.3,15821.4,15702.7,15790.45,29.08,4.32,1.22
25-06-2021,15839.35,15870.8,15772.3,15860.35,29.21,4.34,1.21
28-06-2021,15915.35,15915.65,15792.15,15814.7,29.12,4.33,1.22
29-06-2021,15807.5,15835.9,15724.05,15748.45,29,4.31,1.26
30-06-2021,15776.9,15839.1,15708.75,15721.5,28.33,4.24,1.26
01-07-2021,15755.05,15755.55,15667.05,15680,28.26,4.23,1.27
02-07-2021,15705.85,15738.35,15635.95,15722.2,28.33,4.24,1.23
